dataset,num_workers,prefetch_factor,batch_size,throughput,TTFB
WebDataset,4,1,128,1365.09,2.3087
MosaicML MDS,4,1,128,1528.02,25.9443
LitData,4,1,128,1606.35,0.3795
Energon,4,1,128,720.31,26.155
WebDataset,4,2,128,1455.34,2.2026
MosaicML MDS,4,2,128,1562.65,25.1648
LitData,4,2,128,1625.44,0.3918
Energon,4,2,128,769.26,29.9111
WebDataset,4,4,128,1449.55,2.4065
MosaicML MDS,4,4,128,1559.59,29.0098
LitData,4,4,128,1637.43,0.3782
Energon,4,4,128,766.73,33.9711
WebDataset,8,1,128,2443.18,2.2444
MosaicML MDS,8,1,128,2522.28,15.3643
LitData,8,1,128,2948.53,0.4922
Energon,8,1,128,1242.69,15.6066
WebDataset,8,2,128,2642.15,2.3496
MosaicML MDS,8,2,128,2675.34,15.0657
LitData,8,2,128,3097.14,0.4908
Energon,8,2,128,1405.88,16.1539
WebDataset,8,4,128,2622.95,2.3461
MosaicML MDS,8,4,128,2647.17,12.8637
LitData,8,4,128,3099.48,0.4318
Energon,8,4,128,1440.4,14.743
WebDataset,16,1,128,3049.94,3.1864
MosaicML MDS,16,1,128,3603.69,7.3611
LitData,16,1,128,3832.19,0.761
Energon,16,1,128,1991.82,8.0084
WebDataset,16,2,128,3023.83,3.2483
MosaicML MDS,16,2,128,3632.94,7.1225
LitData,16,2,128,3862.18,0.8314
Energon,16,2,128,2159.83,8.4278
WebDataset,16,4,128,3069.79,3.2086
MosaicML MDS,16,4,128,3607.08,6.4044
LitData,16,4,128,3848.89,0.7886
Energon,16,4,128,2140.25,7.505
WebDataset,4,1,256,1366.72,2.2307
MosaicML MDS,4,1,256,1541.19,19.657
LitData,4,1,256,1618.92,0.7243
Energon,4,1,256,743.42,26.3021
WebDataset,4,2,256,1456.2,2.6797
MosaicML MDS,4,2,256,1549.34,26.0152
LitData,4,2,256,1634.54,0.7148
Energon,4,2,256,785.81,28.7517
WebDataset,4,4,256,1453.99,2.7372
MosaicML MDS,4,4,256,1550.52,26.9966
LitData,4,4,256,1626.73,0.7246
Energon,4,4,256,783.89,31.5899
WebDataset,8,1,256,2513.13,2.7344
MosaicML MDS,8,1,256,2600.71,15.0855
LitData,8,1,256,2983.58,0.7743
Energon,8,1,256,1308.77,16.6868
WebDataset,8,2,256,2648.2,2.767
MosaicML MDS,8,2,256,2656.31,14.5755
LitData,8,2,256,3086.26,0.8815
Energon,8,2,256,1437.67,14.3445
WebDataset,8,4,256,2639.15,2.6457
MosaicML MDS,8,4,256,2613.84,12.2298
LitData,8,4,256,3034.26,0.7758
Energon,8,4,256,1446.01,13.0375
WebDataset,16,1,256,3041.29,3.8245
MosaicML MDS,16,1,256,3642.58,7.6588
LitData,16,1,256,3831.0,1.2883
Energon,16,1,256,2054.74,9.1327
WebDataset,16,2,256,3052.97,3.8253
MosaicML MDS,16,2,256,3638.76,6.4575
LitData,16,2,256,3808.31,1.2973
Energon,16,2,256,2152.64,9.2804
WebDataset,16,4,256,3040.6,3.682
MosaicML MDS,16,4,256,3635.5,7.0566
LitData,16,4,256,3829.09,1.3219
Energon,16,4,256,2163.16,9.3389
WebDataset,4,1,512,1368.16,3.0997
MosaicML MDS,4,1,512,1531.47,18.4472
LitData,4,1,512,1605.88,1.3743
Energon,4,1,512,742.96,29.6289
WebDataset,4,2,512,1444.9,3.6189
MosaicML MDS,4,2,512,1540.29,26.9301
LitData,4,2,512,1618.52,1.3751
Energon,4,2,512,781.09,28.2677
WebDataset,4,4,512,1451.89,3.0665
MosaicML MDS,4,4,512,1539.62,26.9442
LitData,4,4,512,1635.88,1.3961
Energon,4,4,512,781.95,29.2346
WebDataset,8,1,512,2524.18,3.3582
MosaicML MDS,8,1,512,2615.82,15.1503
LitData,8,1,512,2985.14,1.4591
Energon,8,1,512,1349.23,16.6682
WebDataset,8,2,512,2635.38,3.358
MosaicML MDS,8,2,512,2680.66,14.011
LitData,8,2,512,3024.05,1.4652
Energon,8,2,512,1414.24,15.7204
WebDataset,8,4,512,2645.42,3.3155
MosaicML MDS,8,4,512,2652.54,13.5105
LitData,8,4,512,3019.37,1.5297
Energon,8,4,512,1408.47,13.3574
WebDataset,16,1,512,3020.97,4.8604
MosaicML MDS,16,1,512,3691.97,7.8631
LitData,16,1,512,3783.12,2.4241
Energon,16,1,512,2064.6,10.7206
WebDataset,16,2,512,3026.09,5.1989
MosaicML MDS,16,2,512,3696.39,7.8051
LitData,16,2,512,3780.78,2.6168
Energon,16,2,512,2145.94,10.2636
WebDataset,16,4,512,3020.71,4.9926
MosaicML MDS,16,4,512,3698.36,6.7799
LitData,16,4,512,3791.25,2.6006
Energon,16,4,512,2138.65,10.181
WebDataset,4,1,1024,1352.27,4.4091
MosaicML MDS,4,1,1024,1521.34,23.633
LitData,4,1,1024,1590.15,2.7058
Energon,4,1,1024,744.31,32.3094
WebDataset,4,2,1024,1448.43,4.9288
MosaicML MDS,4,2,1024,1523.22,29.5956
LitData,4,2,1024,1601.69,2.6844
Energon,4,2,1024,776.91,32.2035
WebDataset,4,4,1024,1435.06,4.7256
MosaicML MDS,4,4,1024,1521.21,28.1639
LitData,4,4,1024,1595.17,2.7115
Energon,4,4,1024,778.67,30.8403
WebDataset,8,1,1024,2552.92,4.9969
MosaicML MDS,8,1,1024,2802.82,15.4002
LitData,8,1,1024,2946.56,2.9209
Energon,8,1,1024,1373.55,18.3475
WebDataset,8,2,1024,2638.3,5.5032
MosaicML MDS,8,2,1024,2802.1,14.5139
LitData,8,2,1024,3015.79,2.9639
Energon,8,2,1024,1408.15,16.8295
WebDataset,8,4,1024,2640.2,5.0
MosaicML MDS,8,4,1024,2809.35,13.349
LitData,8,4,1024,3009.66,2.8652
Energon,8,4,1024,1414.96,14.6082
WebDataset,16,1,1024,2968.04,7.4591
MosaicML MDS,16,1,1024,3631.01,9.2436
LitData,16,1,1024,3654.88,4.6532
Energon,16,1,1024,2033.79,13.6505
WebDataset,16,2,1024,3017.09,7.4427
MosaicML MDS,16,2,1024,3630.61,9.6937
LitData,16,2,1024,3667.91,4.691
Energon,16,2,1024,2079.94,13.4554
WebDataset,16,4,1024,2987.78,7.3442
MosaicML MDS,16,4,1024,3627.45,9.8106
LitData,16,4,1024,3683.61,4.5905
Energon,16,4,1024,2091.97,14.2378
